#Header:polygon-version1.0
#ID LocationList Comment
#LineCount=119       
ZHN85;N 15 07 33 E 145 43 36,N 15 06 53 E 145 43 30,N 15 07 04 E 145 44 05;
ZHN86;N 13 54 26 E 145 13 39,N 13 46 52 E 145 19 39,N 13 37 35 E 145 22 22,N 13 28 02 E 145 21 18,N 13 19 38 E 145 16 39,N 13 14 00 E 145 10 00,N 13 06 00 E 144 57 00,N 13 02 25 E 144 47 07,N 13 03 21 E 144 36 31,N 13 08 25 E 144 27 10,N 13 16 42 E 144 20 45,N 13 26 49 E 144 18 21,N 13 37 03 E 144 20 21,N 13 45 37 E 144 26 26,N 13 50 00 E 144 33 00,N 13 58 00 E 144 46 00,N 14 00 29 E 144 55 23,N 13 59 12 E 145 05 09;
ZHN87;N 14 10 05.02 E 145 14 22.99,N 14 10 17 E 145 14 57.98,N 14 10 50.99 E 145 14 26.99;
ZHN88;N 13 30 05 E 140 34 14.99,N 13 07 49.01 E 140 35 42,N 12 43 00.98 E 140 39 20.99,N 12 24 07.99 E 140 44 12.98,N 12 03 06.98 E 140 51 19.01,N 11 42 47.99 E 141 00 13,N 11 23 17.99 E 141 11 15,N 11 04 40.01 E 141 23 12.98,N 10 47 03.01 E 141 37 10.99,N 10 30 50 E 141 52 31.01,N 10 15 54 E 142 09 16.99,N 10 03 24.98 E 142 27 42.98,N 09 51 02.02 E 142 49 18.98,N 09 41 12.01 E 143 06 06.98,N 09 32 15 E 143 26 47,N 09 25 30 E 143 48 19.01,N 09 20 37 E 144 10 59.99,N 09 17 52.01 E 144 32 17.02,N 09 16 52 E 144 54 36,N 09 18 25.99 E 145 17 10,N 09 20 34.01 E 145 39 06.01,N 09 25 27.01 E 146 01 08,N 09 31 50.99 E 146 22 30,N 09 40 18.98 E 146 43 16,N 09 50 20 E 147 03 15.01,N 10 02 30.01 E 147 22 04.01,N 10 15 27 E 147 40 13.01,N 10 30 24.01 E 147 56 55,N 10 46 32.02 E 148 12 24.01,N 11 03 56.99 E 148 26 22.99,N 11 22 32.99 E 148 38 48.01,N 11 42 06.01 E 148 49 27.98,N 12 02 35.99 E 148 58 27.98,N 12 23 35.02 E 149 05 37,N 12 45 16.99 E 149 11 01,N 13 12 32 E 149 15 06.98,N 13 29 30.01 E 149 15 41,N 13 51 42.01 E 149 15 02.02,N 14 13 43 E 149 12 34.99,N 14 35 29 E 149 08 11,N 14 56 53.99 E 149 01 34,N 15 17 35.02 E 148 53 13.99,N 15 37 32.99 E 148 43 00.98,N 15 56 28 E 148 30 56.99,N 16 14 19 E 148 17 21.01,N 16 33 09 E 147 59 37,N 16 46 07 E 147 45 18,N 16 59 49.99 E 147 27 11.02,N 17 12 04 E 147 07 50.99,N 17 22 32.99 E 146 47 24,N 17 31 14.99 E 146 26 08.02,N 17 38 08.99 E 146 04 17,N 17 43 49.01 E 145 41 39.01,N 17 46 05.99 E 145 18 13,N 17 47 06 E 144 55 18.98,N 17 46 05.02 E 144 32 08.99,N 17 42 24.01 E 144 10 18.01,N 17 36 59 E 143 45 41,N 17 31 36.01 E 143 26 26.99,N 17 22 54.01 E 143 03 15.01,N 17 12 24.98 E 142 42 42.98,N 16 59 44.99 E 142 23 24,N 16 45 36 E 142 04 01.99,N 16 31 23.99 E 141 48 20.99,N 16 14 51 E 141 33 02.02,N 15 56 57.98 E 141 19 18.01,N 15 38 03.01 E 141 07 18.98,N 15 18 10.01 E 140 57 02.02,N 14 57 33.98 E 140 48 32,N 14 36 15.98 E 140 42 06.01,N 14 14 17.99 E 140 37 35,N 13 52 21 E 140 34 54.01;
ZHNHN;N 21 25 35 W 157 48 10.01,N 21 26 30.01 W 157 49 30,N 21 27 00 W 157 52 59.99,N 21 46 05.02 W 158 00 05,N 21 45 00 W 158 02 44.99,N 21 38 25.01 W 158 08 55,N 21 38 20 W 158 12 24.98,N 21 37 40.01 W 158 18 00,N 21 35 49.99 W 158 19 45.01,N 21 30 00 W 158 22 59.99,N 21 24 05 W 158 25 05.02,N 21 20 15 W 158 25 30,N 21 10 35 W 158 24 29.99,N 21 03 15.01 W 158 20 44.99,N 20 59 20 W 158 16 59.99,N 20 54 24.98 W 158 10 50.02,N 20 52 00.01 W 158 05 25.01,N 20 50 39.98 W 157 59 20,N 20 50 49.99 W 157 48 00,N 20 52 40.01 W 157 45 40,N 20 48 40 W 157 43 59.99,N 20 52 40.01 W 157 36 00,N 20 59 30.01 W 157 28 50.02,N 21 04 00.01 W 157 25 50.02,N 21 09 10.01 W 157 23 30.01,N 21 19 19.99 W 157 27 29.99,N 21 23 20 W 157 29 20,N 21 25 00.01 W 157 30 00,N 21 25 00.01 W 157 37 45.01;
ZHNIT;N 19 59 30 W 155 20 10,N 20 03 00 W 155 16 10,N 20 06 00 W 155 09 30,N 20 07 00 W 155 00 00,N 20 06 00 W 154 53 30,N 20 03 20 W 154 47 10,N 20 01 20 W 154 45 00,N 19 58 10 W 154 41 00,N 19 54 00 W 154 38 30,N 19 48 00 W 154 36 30,N 19 42 00 W 154 35 45,N 19 36 00 W 154 36 30,N 19 27 00 W 154 41 10,N 19 21 00 W 154 50 50,N 19 20 00 W 154 52 30,N 19 19 30 W 155 06 15,N 19 24 30 W 155 18 15,N 19 35 35 W 155 25 45,N 19 48 20 W 155 26 40;
ZHNOG;N 20 58 05.02 W 156 52 14.99,N 20 51 29.99 W 156 49 30,N 20 48 42.01 W 156 48 00,N 20 46 59.99 W 156 46 59.99,N 20 42 15.01 W 156 30 29.99,N 20 38 44.99 W 156 16 19.99,N 20 43 00.01 W 156 09 29.99,N 20 48 20.02 W 156 00 00,N 20 58 00.01 W 155 59 30.01,N 21 03 34.99 W 156 01 40.01,N 21 06 20.02 W 156 02 39.98,N 21 13 00.01 W 156 08 30.01,N 21 17 39.98 W 156 16 30,N 21 18 29.99 W 156 21 00,N 21 19 19.99 W 156 25 30,N 21 17 30.01 W 156 36 00,N 21 10 23.99 W 156 31 59.99,N 21 09 00 W 156 48 00,N 21 06 29.99 W 156 49 00.01,N 21 04 59.99 W 156 50 17.99;
ZAN03;N 65 40 55.2 W 154 06 30,N 64 44 00 W 154 20 00,N 63 10 00 W 152 43 00,N 63 00 00 W 153 05 00,N 62 25 00 W 153 30 00,N 61 23 32.1 W 156 00 00,N 61 23 00 W 156 25 00,N 61 23 22.3 W 156 27 42.2,N 61 37 15 W 158 14 00,N 62 27 00 W 163 15 00,N 61 52 11.5 W 166 26 22.4,N 60 35 15 W 168 21 49.9,N 62 40 12 W 170 45 09,N 62 57 30 W 174 34 57.6,N 64 03 00 W 172 12 00,N 65 00 00 W 168 58 23,N 66 27 00 W 168 58 23,N 66 38 00 W 164 50 00,N 66 00 00 W 163 00 00,N 66 06 60 W 157 00 00;
ZAN04;N 90 00 00 W 141 00 00,N 67 19 60 W 141 00 00,N 66 06 60 W 154 00 00,N 65 40 55 W 154 06 30,N 66 06 60 W 157 00 00,N 66 00 00 W 163 00 00,N 66 38 00 W 164 50 00,N 66 27 00 W 168 58 23;
ZAN05;N 61 23 22.99 W 156 27 42.01,N 60 35 17.48 W 156 26 13.16,N 59 54 00 W 156 25 00.01,N 59 30 00 W 155 19 59.99,N 59 09 42.98 W 152 17 29,N 59 10 59.99 W 150 00 00,N 60 30 00 W 150 00 00,N 60 46 59.99 W 150 07 00.01,N 60 52 32.02 W 150 09 34.99,N 61 04 59.99 W 151 04 26,N 61 04 59.99 W 151 15 00,N 61 04 59.99 W 151 45 00,N 61 13 59.99 W 152 07 00.01,N 61 13 59.99 W 152 46 59.99,N 61 25 00.01 W 152 48 00,N 61 23 31.99 W 156 00 00,N 61 22 59.99 W 156 25 00.01;
