stage:1
0	-2986059.832	3224842.864	2392457.143
0.1	-2986106.864	3224799.315	2392457.143
0.2	-2986153.894	3224755.764	2392457.143
0.3	-2986200.925	3224712.213	2392457.143
0.4	-2986247.954	3224668.661	2392457.143
0.5	-2986294.983	3224625.109	2392457.143
0.6	-2986342.012	3224581.556	2392457.143
0.7	-2986389.039	3224538.002	2392457.143
0.8	-2986436.067	3224494.447	2392457.143
0.9	-2986483.093	3224450.892	2392457.143
1	-2986530.119	3224407.336	2392457.143
1.1	-2986577.144	3224363.78	2392457.143
1.2	-2986624.169	3224320.222	2392457.143
1.3	-2986671.193	3224276.664	2392457.143
1.4	-2986718.216	3224233.106	2392457.143
1.5	-2986765.238	3224189.546	2392457.143
1.6	-2986812.26	3224145.986	2392457.143
1.7	-2986859.282	3224102.426	2392457.143
1.8	-2986906.303	3224058.864	2392457.143
1.9	-2986953.323	3224015.302	2392457.143
2	-2987000.342	3223971.739	2392457.143
2.1	-2987047.361	3223928.176	2392457.143
2.2	-2987094.379	3223884.612	2392457.143
2.3	-2987141.397	3223841.047	2392457.143
2.4	-2987188.414	3223797.482	2392457.143
2.5	-2987235.43	3223753.915	2392457.143
2.6	-2987282.446	3223710.348	2392457.143
2.7	-2987329.461	3223666.781	2392457.143
2.8	-2987376.475	3223623.213	2392457.143
2.9	-2987423.489	3223579.644	2392457.143
3	-2987470.502	3223536.074	2392457.143
3.1	-2987517.514	3223492.504	2392457.143
3.2	-2987564.526	3223448.933	2392457.143
3.3	-2987611.537	3223405.361	2392457.143
3.4	-2987658.548	3223361.789	2392457.143
3.5	-2987705.558	3223318.216	2392457.143
3.6	-2987752.567	3223274.642	2392457.143
3.7	-2987799.576	3223231.068	2392457.143
3.8	-2987846.584	3223187.492	2392457.143
3.9	-2987893.591	3223143.917	2392457.143
4	-2987940.598	3223100.34	2392457.143
4.1	-2987987.604	3223056.763	2392457.143
4.2	-2988034.61	3223013.185	2392457.143
4.3	-2988081.615	3222969.607	2392457.143
4.4	-2988128.619	3222926.027	2392457.143
4.5	-2988175.622	3222882.448	2392457.143
4.6	-2988222.625	3222838.867	2392457.143
4.7	-2988269.628	3222795.286	2392457.143
