FORMAT	LATLON	FEET
#Time	Long	Lat	Alt	spacecraft	separates	from	carrier	aircraft	at	time	3900
# This file has been abridged such that time t=0 is actually t=3900 of the original file
159	-106.964478	33.331	325882.47
160	-106.964485	33.331	326487.1
161	-106.964491	33.331	327054.36
162	-106.964497	33.33	327590.39
163	-106.964502	33.33	328095.2
164	-106.964507	33.33	328573.36
165	-106.964512	33.33	329015.41
166	-106.964517	33.33	329426.24
167	-106.964521	33.33	329805.85
168	-106.964524	33.33	330154.23
169	-106.964528	33.33	330471.4
170	-106.964531	33.329	330757.36
171	-106.964534	33.329	330990.46
172	-106.964536	33.329	331237.74
173	-106.964538	33.329	331411.96
174	-106.96454	33.329	331575.89
175	-106.964542	33.329	331708.6
176	-106.964543	33.329	331810.1
177	-106.964544	33.328	331880.4
178	-106.964544	33.328	331919.98
179	-106.964545	33.328	331927.42
180	-106.964545	33.328	331903.71
181	-106.964544	33.328	331846.03
182	-106.964544	33.328	331762.83
183	-106.964542	33.328	331638.88
184	-106.964541	33.327	331488.84
185	-106.964539	33.327	331307.59
186	-106.964538	33.327	331099.69
187	-106.964535	33.327	330851.47
188	-106.964533	33.327	330576.58
189	-106.964529	33.327	330270.47
190	-106.964526	33.327	329933.15
191	-106.964523	33.327	329576.12
192	-106.964519	33.326	329168.97
193	-106.964514	33.326	328738.22
194	-106.96451	33.326	328281.02
195	-106.964505	33.326	327783.03
196	-106.9645	33.326	327263.96
197	-106.964494	33.326	326697.15
198	-106.964488	33.326	326109.89
199	-106.964482	33.325	325497.74
200	-106.964476	33.325	324848.33
201	-106.964469	33.325	324167.68
202	-106.964462	33.325	323455.8
203	-106.964454	33.325	322705.1
204	-106.964446	33.325	321938.33
205	-106.964438	33.325	321124.52
206	-106.96443	33.325	320278.84
207	-106.964421	33.324	319410.12
208	-106.964412	33.324	318510.18
209	-106.964402	33.324	317579.01
210	-106.964392	33.324	316616.58
211	-106.964382	33.324	315622.9
212	-106.964372	33.324	314597.93
213	-106.964361	33.324	313530.98
214	-106.96435	33.323	312454.21
215	-106.964339	33.323	311335.45
216	-106.964327	33.323	310173.76
217	-106.964315	33.323	308992.14
218	-106.964303	33.323	307779.24
219	-106.96429	33.323	306522.46
220	-106.964278	33.323	305362.78
221	-106.964265	33.322	304058.54
222	-106.96425	33.322	302587.73
223	-106.964237	33.322	301356.17
224	-106.964223	33.322	299958.04
225	-106.964208	33.322	298528.61
226	-106.964193	33.322	297067.88
227	-106.964178	33.322	295500.41
228	-106.964163	33.322	294052.45
229	-106.964146	33.321	292450.62
230	-106.96413	33.321	290847.64
231	-106.964113	33.321	289229.05
232	-106.964096	33.321	287579.13
233	-106.964079	33.321	285880.92
234	-106.964062	33.321	284168.03
235	-106.964044	33.321	282423.81
236	-106.964026	33.32	280684.07
237	-106.964007	33.32	278841.36
238	-106.963988	33.32	276984.59
239	-106.963969	33.32	275133.56
240	-106.963949	33.32	273213.48
241	-106.963929	33.32	271280.92
242	-106.963909	33.32	269317.01
243	-106.963889	33.319	267321.77
244	-106.963868	33.319	265295.19
245	-106.963847	33.319	263237.29
246	-106.963825	33.319	261105.94
247	-106.963803	33.319	258984.76
248	-106.963781	33.319	256832.27
249	-106.963759	33.319	254670.47
250	-106.963736	33.319	252433.39
251	-106.963713	33.318	250187.04
252	-106.963689	33.318	247909.43
253	-106.963666	33.318	245600.59
254	-106.963642	33.318	243260.55
255	-106.963617	33.318	240889.33
256	-106.963592	33.318	238462.79
257	-106.963567	33.318	236029.03
258	-106.963542	33.317	233589.02
259	-106.963516	33.317	231068.41
260	-106.96349	33.317	228541.67
261	-106.963464	33.317	225984.06
262	-106.96344	33.317	223629.89
263	-106.96341	33.317	220776.63
264	-106.963386	33.317	218366.72
265	-106.963358	33.316	215689.42
266	-106.96333	33.316	212981.85
267	-106.9633	33.316	210078.98
268	-106.963273	33.316	207421.03
269	-106.963243	33.316	204510.78
270	-106.963214	33.316	201682.53
271	-106.963184	33.315	198825.25
272	-106.963155	33.315	195939.28
273	-106.963125	33.315	193025.14
274	-106.963094	33.315	190083.28
275	-106.963064	33.315	187143.82
276	-106.963033	33.314	184147.72
277	-106.963002	33.314	181094.97
278	-106.96297	33.314	178047.13
279	-106.962939	33.314	174975.22
280	-106.962907	33.314	171880.12
281	-106.962875	33.313	168762.42
282	-106.962843	33.313	165623.13
283	-106.962811	33.313	162559.4
284	-106.962778	33.312	159351.84
285	-106.962746	33.312	156159.53
286	-106.962712	33.312	152888.64
287	-106.96268	33.311	149703.36
288	-106.962647	33.311	146509.84
289	-106.962614	33.31	143214.17
290	-106.962581	33.31	139983.2
291	-106.962549	33.309	136788.51
292	-106.962516	33.309	133571.18
293	-106.962484	33.308	130369.66
