FORMAT LATLON METERS
#Time LonDeg              LatDeg              AltM                
102.0 -75.403061847       37.8936271832       22867.4771575       
103.0 -75.3990280409      37.8965213862       23349.0187919       
104.0 -75.3948639792      37.8995112368       23836.4198862       
105.0 -75.3905674423      37.9025983934       24329.7937994       
106.0 -75.3861361294      37.9057845783       24829.2333926       
107.0 -75.381567627       37.9090715938       25334.8442086       
108.0 -75.3768595981      37.9124611866       25846.7179025       
109.0 -75.3720095411      37.915955219        26364.9693          
110.0 -75.367014772       37.9195557111       26889.6441729       
111.0 -75.3618722419      37.9232649574       27420.7864151       
112.0 -75.3565789349      37.9270852391       27958.3952818       
113.0 -75.3511312736      37.9310192669       28502.4434318       
114.0 -75.3455260433      37.9350694646       29052.9367434       
115.0 -75.3397598038      37.9392384301       29609.8577671       
116.0 -75.3338290419      37.9435288095       30173.2018583       
117.0 -75.3277301685      37.9479433051       30742.9530486       
118.0 -75.3214598816      37.952484397        31319.1478569       
119.0 -75.3150154623      37.9571541183       31901.9162504       
120.0 -75.3083943782      37.9619543592       32491.4118875       
121.0 -75.3015939383      37.9668871252       33087.7961555       
122.0 -75.2946114576      37.9719544164       33691.2263561       
123.0 -75.2874442077      37.9771582643       34301.8607006       
124.0 -75.2800894077      37.9825007371       34919.8588875       
125.0 -75.2725442525      37.9879839182       35545.3883305       
126.0 -75.2648054554      37.9936102649       36178.5420131       
127.0 -75.2568693729      37.9993825093       36819.3613963       
128.0 -75.2487322159      38.005303492        37467.8765717       
129.0 -75.2403901131      38.011376115        38124.1012342       
130.0 -75.2318389686      38.0176034417       38788.0633357       
131.0 -75.2230747909      38.023988459        39459.7734321       
132.0 -75.2140932791      38.0305343779       40139.239308        
133.0 -75.20489046        38.0372441567       40826.5291151       
134.0 -75.1954626863      38.0441204982       41521.7849635       
135.0 -75.1858065869      38.0511658897       42225.2177811       
136.0 -75.1759190607      38.0583826082       42937.0938422       
137.0 -75.1657966859      38.0657731692       43657.6644829       
138.0 -75.1554361322      38.073340017        44387.1849009       
139.0 -75.144833935       38.0810856923       45125.920184        
140.0 -75.1339865679      38.0890127785       45874.140802        
141.0 -75.1228899486      38.0971242904       46632.0197808       
142.0 -75.1115396811      38.1054234821       47399.6899257       
143.0 -75.099930949       38.1139139323       48177.2086169       
144.0 -75.0880588208      38.1225992937       48964.6676278       
145.0 -75.0759183498      38.131483229        49762.1452658       
146.0 -75.0635042673      38.1405696333       50569.7107113       
147.0 -75.0508115696      38.1498621971       51387.5062015       
148.0 -75.0378353126      38.1593645566       52215.7202438       
149.0 -75.0245710456      38.1690799688       53054.6764995       
150.0 -75.011014423       38.1790116053       53904.7588029       
151.0 -74.997160976       38.1891627204       54766.3707879       
152.0 -74.9830059123      38.199536817        55639.8733896       
153.0 -74.968544461       38.2101373648       56525.6895804       
154.0 -74.9537715314      38.2209680706       57424.2096414       
155.0 -74.9386810119      38.2320333992       58335.6447676       
156.0 -74.923266425       38.2433380806       59260.1756885       
157.0 -74.9075211145      38.2548869666       60197.9852947       
158.0 -74.8914380387      38.2666851935       61149.2655277       
159.0 -74.8750100356      38.2787379716       62114.2008768       
160.0 -74.8582302434      38.2910502708       63093.1236473       
161.0 -74.8410922415      38.3036267142       64086.5337549       
162.0 -74.8235896229      38.3164719026       65095.0034753       
163.0 -74.8057157419      38.3295906059       66119.1194103       
164.0 -74.7874637042      38.3429877688       67159.5012668       
165.0 -74.7688258107      38.3566689406       68216.6509053       
166.0 -74.7497932949      38.370640475        69290.9095583       
167.0 -74.7303567311      38.3849092089       70382.5681164       
168.0 -74.7105062698      38.3994822824       71491.9214826       
169.0 -74.6902321558      38.4143667373       72619.398765        
170.0 -74.669525236       38.4295691282       73765.6834225       
171.0 -74.6483765547      38.4450958361       74931.6286689       
172.0 -74.6267766068      38.4609536383       76118.088579        
173.0 -74.604713952       38.4771507597       77325.5961187       
174.0 -74.582175556       38.493696605        78554.457857        
175.0 -74.5591492277      38.5105999543       79805.3433171       
176.0 -74.535628729       38.5278651542       81080.3602302       
177.0 -74.5118594827      38.5453048746       82366.6808961       
178.0 -74.4880620781      38.5627513525       83646.6790419       
179.0 -74.4642210543      38.5802171807       84921.0195103       
180.0 -74.4403218897      38.597714129        86190.335456        
181.0 -74.4163595849      38.6152460015       87454.9015239       
182.0 -74.392333894       38.6328126352       88714.812675        
183.0 -74.3682446758      38.6504137797       89970.1602599       
184.0 -74.3440917851      38.6680491856       91221.036324        
185.0 -74.3198750854      38.685718597        92467.5328214       
186.0 -74.2955944429      38.7034217549       93709.7419388       
187.0 -74.2712497164      38.7211584038       94947.7569254       
188.0 -74.2468407754      38.7389282803       96181.6706847       
189.0 -74.2223675506      38.7567309422       97411.6147025       
190.0 -74.1978297057      38.7745667101       98637.5578212       
191.0 -74.173227101       38.7924353403       99859.5891901       
192.0 -74.1485593668      38.8103372425       101077.658768       
193.0 -74.1238262257      38.8282725582       102291.773774       
194.0 -74.0990273389      38.8462415956       103501.90613        
195.0 -74.0741623941      38.8642445853       104708.044429       
196.0 -74.0492310684      38.8822817774       105910.173445       
197.0 -74.0242330379      38.9003534242       107108.277507       
198.0 -73.9991679814      38.918459773        108302.341068       
199.0 -73.9740355577      38.9366010869       109492.349075       
200.0 -73.9488354419      38.9547776134       110678.286339       
201.0 -73.9235672992      38.9729896079       111860.137451       
202.0 -73.8982307931      38.9912373269       113037.886932       
203.0 -73.872825557       39.0095211004       114211.503858       
204.0 -73.8473513067      39.0278410301       115381.006244       
205.0 -73.8218076778      39.0461974302       116546.366991       
206.0 -73.7961942442      39.0645907677       117707.527053       
207.0 -73.7705108986      39.0830206641       118864.606321       
208.0 -73.7447573486      39.1014872269       120017.621956       
209.0 -73.718933129       39.1199910143       121166.496266       
210.0 -73.6930380887      39.1385317532       122311.327106       
211.0 -73.6670719443      39.1571095168       123452.139417       
212.0 -73.6410343992      39.175724411        124588.951187       
213.0 -73.6149251628      39.194376516        125721.786558       
214.0 -73.5887439534      39.2130658919       126850.673411       
215.0 -73.5624904837      39.231792606        127975.63854        
216.0 -73.536164467       39.2505567231       129096.709316       
217.0 -73.5097656382      39.2693582908       130213.911642       
218.0 -73.4832936574      39.2881974162       131327.274915       
219.0 -73.4567482543      39.3070741534       132436.823984       
220.0 -73.4301291341      39.3259885717       133542.585897       
221.0 -73.4034360013      39.3449407407       134644.587822       
222.0 -73.3766685581      39.3639307299       135742.857046       
223.0 -73.3498265059      39.3829586092       136837.42098        
224.0 -73.3229095447      39.4020244482       137928.307156       
225.0 -73.2959173722      39.421128317        139015.543228       
226.0 -73.2688501581      39.4402686874       140099.537293       
227.0 -73.241706628       39.4594489159       141179.53503        
228.0 -73.2144869313      39.4786675218       142255.933958       
229.0 -73.1871907471      39.497924616        143328.752694       
230.0 -73.159817752       39.5172203137       144398.008976       
231.0 -73.1323674715      39.5365552326       145463.600728       
232.0 -73.1048398166      39.5559286791       146525.739716       
233.0 -73.0772342912      39.57534133         147584.310204       
234.0 -73.0495505319      39.5947934028       148639.30656        
235.0 -73.0217881225      39.6142852859       149690.682317       
236.0 -72.993946813       39.6338167995       150738.527768       
237.0 -72.9660261954      39.6533882893       151782.807135       
238.0 -72.9380259057      39.672999946        152823.522159       
239.0 -72.9099455789      39.6926519587       153860.674684       
240.0 -72.8817848413      39.7123445231       154894.266825       
241.0 -72.8535433229      39.7320778279       155924.301099       
242.0 -72.8252206495      39.7518520657       156950.779834       
243.0 -72.7968164786      39.771667394        157973.706976       
244.0 -72.7683303599      39.7915240803       158993.081551       
245.0 -72.7397619444      39.811422287        160008.906947       
246.0 -72.7111108451      39.8313622124       161021.185242       
247.0 -72.682376673       39.8513440559       162029.918502       
248.0 -72.6535590358      39.8713680183       163035.108782       
249.0 -72.6246575378      39.8914343011       164036.758125       
250.0 -72.5956717814      39.9115431075       165034.868565       
251.0 -72.5666013649      39.9316946416       166029.442129       
252.0 -72.5374455401      39.9518900203       167020.272474       
253.0 -72.5082046101      39.9721275623       168007.793442       
254.0 -72.4788778284      39.9924083707       168991.802257       
255.0 -72.4494647911      40.01273263         169972.306521       
256.0 -72.4199650919      40.0331005231       170949.314439       
257.0 -72.3903783916      40.0535120661       171922.871077       
258.0 -72.3607041927      40.0739676437       172892.94187        
259.0 -72.3309421613      40.0944672459       173859.578282       
260.0 -72.3010919059      40.1150109957       174822.803036       
261.0 -72.2711530351      40.135599008        175782.640909       
262.0 -72.2411253237      40.1562309864       176739.208526       
263.0 -72.2110080132      40.1769079388       177692.332216       
264.0 -72.1808008755      40.1976295622       178642.130657       
265.0 -72.150503506       40.2183959812       179588.627419       
266.0 -72.1201155049      40.2392073142       180531.846609       
267.0 -72.0896364438      40.2600637156       181471.807987       
268.0 -72.0590659072      40.2809653276       182408.530891       
269.0 -72.0284034752      40.3019122906       183342.03644        
270.0 -71.9976487239      40.3229047464       184272.345677       
271.0 -71.9668012954      40.3439427797       185199.478642       
272.0 -71.9358606264      40.3650266434       186123.460287       
273.0 -71.9048263547      40.3861564186       187044.312027       
274.0 -71.8736980472      40.4073322464       187962.056223       
275.0 -71.8424752669      40.4285542683       188876.715407       
276.0 -71.8111575753      40.4498226258       189788.31228        
277.0 -71.7797445301      40.4711374614       190696.869715       
278.0 -71.7482356867      40.4924989176       191602.410755       
279.0 -71.7166305979      40.5139071374       192504.95862        
280.0 -71.684928813       40.5353622643       193404.536701       
281.0 -71.6531299106      40.5568642618       194301.220722       
282.0 -71.6212333626      40.5784136619       195194.923433       
283.0 -71.5892387419      40.600010427        196085.721406       
284.0 -71.5571455842      40.6216547088       196973.637142       
285.0 -71.5249534223      40.6433466597       197858.693172       
286.0 -71.4926618716      40.665085738        198741.125522       
287.0 -71.4602702759      40.6868735782       199620.502547       
288.0 -71.4277782418      40.7087096442       200497.059497       
289.0 -71.3951852837      40.7305941238       201370.809699       
290.0 -71.3624909129      40.7525272089       202241.765475       
291.0 -71.3296945498      40.7745098567       203109.701103       
292.0 -71.296795859       40.7965408071       203975.083214       
293.0 -71.2637942537      40.8186210303       204837.682693       
294.0 -71.2306892235      40.8407507602       205697.50084        
295.0 -71.1974802542      40.8629302382       206554.537028       
296.0 -71.164166838       40.8851596656       207408.801671       
297.0 -71.1307484433      40.9074392421       208260.312255       
298.0 -71.0972245551      40.9297691724       209109.079021       
299.0 -71.0635946457      40.9521496676       209955.112584       
300.0 -71.0298582741      40.9745808549       210798.426549       
301.0 -70.9960147219      40.9970631344       211639.021643       
302.0 -70.9620635376      41.0195966441       212476.909188       
303.0 -70.9280041749      41.0421816082       213312.097956       
304.0 -70.8938360837      41.0648182526       214144.596691       
305.0 -70.8595587092      41.0875068046       214974.414111       
306.0 -70.8251714918      41.1102474937       215801.558906       
307.0 -70.7906738677      41.1330405507       216626.039746       
308.0 -70.7560652681      41.155886208        217447.865277       
309.0 -70.7213453176      41.1787845124       218267.050692       
310.0 -70.6865130399      41.2017360718       219083.593606       
311.0 -70.6515680483      41.224740935        219897.509914       
312.0 -70.6165097547      41.24779934         220708.80903        
313.0 -70.5813375651      41.2709115259       221517.500446       
314.0 -70.5460508818      41.2940777337       222323.593731       
315.0 -70.510649101       41.3172982056       223127.098534       
316.0 -70.4751316147      41.3405731853       223928.024588       
317.0 -70.4394978101      41.3639029178       224726.38171        
318.0 -70.4037468382      41.3872881997       225522.042694       
319.0 -70.3678785482      41.4107281421       226315.302015       
320.0 -70.3318920865      41.4342235328       227106.035674       
321.0 -70.2957868247      41.4577746096       227894.257343       
322.0 -70.2595621299      41.4813816104       228679.981103       
323.0 -70.2232174294      41.5050446412       229463.251249       
324.0 -70.1867519963      41.5287640989       230244.049205       
325.0 -70.1501652518      41.552540083        231022.421677       
326.0 -70.1134565628      41.5763727924       231798.394113       
327.0 -70.0766253932      41.6002622155       232572.040858       
328.0 -70.0396708857      41.6242089928       233343.286637       
329.0 -70.0025924885      41.6482131258       234112.20377        
330.0 -69.965389545       41.6722748223       234878.817624       
331.0 -69.9280613948      41.6963942892       235643.154156       
332.0 -69.8906073771      41.7205717344       236405.237681       
333.0 -69.8530267925      41.7448073999       237165.091147       
334.0 -69.8153189696      41.769101497        237922.739076       
335.0 -69.7774832202      41.7934542475       238678.206024       
336.0 -69.739518991       41.8178657564       239431.517139       
337.0 -69.7014253036      41.8423364826       240182.697479       
338.0 -69.6632015931      41.866866532        240931.773148       
339.0 -69.6248471485      41.891456131        241678.769962       
340.0 -69.5863612535      41.9161055068       242423.713962       
341.0 -69.5477431857      41.9408148882       243166.63142        
342.0 -69.5089922163      41.9655845052       243907.548835       
343.0 -69.4701076116      41.9904145891       244646.492941       
344.0 -69.4310886306      42.0153053724       245383.490706       
345.0 -69.3919348457      42.0402568225       246118.569891       
346.0 -69.3526448592      42.0652697158       246851.756157       
347.0 -69.3132182277      42.0903440251       247583.077565       
348.0 -69.2736541835      42.115479991        248312.561803       
349.0 -69.2339519514      42.1406778558       249040.236784       
350.0 -69.194110751       42.1659378629       249766.130647       
351.0 -69.1541297941      42.1912602575       250490.27176        
352.0 -69.1140082867      42.216645286        251212.688724       
353.0 -69.0737454283      42.2420931963       251933.410373       
354.0 -69.0333404145      42.2676042347       252652.465787       
355.0 -68.9927924142      42.2931786659       253369.884257       
356.0 -68.9520991342      42.3188178066       254085.747369       
357.0 -68.9112630318      42.3445195333       254799.968798       
358.0 -68.8702822339      42.3702848553       255512.614857       
359.0 -68.8291573662      42.3961129746       256223.663381       
360.0 -68.7878875401      42.4220041849       256933.145748       
361.0 -68.7464739661      42.4479572675       257641.018414       
362.0 -68.7049164192      42.473972039        258347.288597       
363.0 -68.6632152627      42.5000478928       259051.94225        
364.0 -68.6213707148      42.5261843279       259754.970202       
365.0 -68.5793830145      42.5523808288       260456.362273       
366.0 -68.5372524059      42.5786368772       261156.107733       
367.0 -68.4949791468      42.6049519461       261854.195095       
368.0 -68.4525634585      42.6313255364       262550.613357       
369.0 -68.4100056988      42.6577570492       263245.34777        
370.0 -68.3673061032      42.684245977        263938.386183       
371.0 -68.3244649618      42.7107917739       264629.714669       
372.0 -68.2814825736      42.7373938886       265319.318647       
373.0 -68.2383592458      42.7640517646       266007.182882       
374.0 -68.1950952956      42.7907648401       266693.291474       
375.0 -68.1516908284      42.8175327155       267377.631451       
376.0 -68.1081466226      42.8443544821       268060.178345       
377.0 -68.0644628039      42.8712297287       268740.917772       
378.0 -68.0206397272      42.8981578719       269419.831097       
379.0 -67.9766777573      42.9251383232       270096.898991       
380.0 -67.9325772673      42.9521704891       270772.101424       
381.0 -67.8883386408      42.9792537707       271445.417663       
382.0 -67.8439622702      43.0063875645       272116.826267       
383.0 -67.7994485577      43.0335712616       272786.305078       
384.0 -67.7547979154      43.0608042485       273453.831218       
385.0 -67.7100105375      43.0880860922       274119.378812       
386.0 -67.6650873195      43.115415789        274782.928022       
387.0 -67.6200284743      43.1427928972       275444.451485       
388.0 -67.5748344551      43.1702167818       276103.923368       
389.0 -67.5295057241      43.1976868031       276761.317089       
390.0 -67.4840427542      43.2252023162       277416.605308       
391.0 -67.4384460282      43.2527626715       278069.759926       
392.0 -67.3927160384      43.2803672148       278720.752075       
393.0 -67.3468532879      43.3080152871       279369.552117       
394.0 -67.3008589503      43.3357057884       280016.097244       
395.0 -67.2547319664      43.3634390936       280660.434101       
396.0 -67.2084746163      43.3912133773       281302.445416       
397.0 -67.1620845869      43.4190298411       281942.238168       
398.0 -67.1155628522      43.4468875204       282579.758741       
399.0 -67.0689079347      43.4747870591       283215.073656       
400.0 -67.0221215738      43.5027269948       283848.090492       
401.0 -66.9752019025      43.5307082237       284478.894601       
402.0 -66.9281486934      43.5587305664       285107.490623       
403.0 -66.8809616697      43.5867938749       285733.8855         
404.0 -66.8336404215      43.6148980867       286358.092303       
405.0 -66.786184543       43.6430431348       286980.124104       
406.0 -66.7385936228      43.6712289538       287599.994015       
407.0 -66.690867233       43.6994554852       288217.716794       
408.0 -66.6430050102      43.727722635        288833.301148       
409.0 -66.5950065491      43.7560303263       289446.760452       
410.0 -66.5468714481      43.7843784814       290058.106903       
411.0 -66.4985993035      43.8127670217       290667.352643       
412.0 -66.4501897112      43.8411958679       291274.509761       
413.0 -66.401642265       43.8696649396       291879.590291       
414.0 -66.3529565578      43.8981741558       292482.606214       
415.0 -66.304132141       43.9267234497       293083.57514        
416.0 -66.2551686862      43.9553127081       293682.497488       
417.0 -66.2060657426      43.9839418621       294279.390697       
418.0 -66.156822898       44.0126108272       294874.266484       
419.0 -66.1074397393      44.0413195178       295467.136505       
420.0 -66.0579158515      44.0700678475       296058.012357       
421.0 -66.0082508188      44.0988557292       296646.905576       
422.0 -65.9584442243      44.1276830748       297233.827642       
423.0 -65.9084956488      44.1565497951       297818.789971       
424.0 -65.8584046728      44.1854558004       298401.803924       
425.0 -65.8081707957      44.2144010286       298982.891878       
426.0 -65.7577937554      44.2433853296       299562.042555       
427.0 -65.7072730488      44.2724086397       300139.278241       
428.0 -65.6566082506      44.3014708654       300714.609975       
429.0 -65.6057989351      44.3305719122       301288.048732       
430.0 -65.5548446743      44.3597116846       301859.605418       
431.0 -65.5037450395      44.3888900862       302429.290875       
432.0 -65.4524996001      44.4181070198       302997.115876       
433.0 -65.4011079245      44.4473623872       303563.09113        
434.0 -65.34956958        44.4766560893       304127.227279       
435.0 -65.2978809766      44.5059902653       304689.572068       
436.0 -65.2460497215      44.5353591051       305250.040993       
437.0 -65.1940725335      44.5647645358       305808.677446       
438.0 -65.1419500059      44.5942057362       306365.478137       
439.0 -65.089683762       44.6236811608       306920.427497       
440.0 -65.0372756146      44.6531891399       307473.506564       
441.0 -64.9847253473      44.682729439        308024.720379       
442.0 -64.9320348254      44.7123003638       308574.047958       
443.0 -64.8792051399      44.741900772        309121.477155       
444.0 -64.8262374132      44.7715295054       309666.994632       
445.0 -64.7731328399      44.8011853633       310210.585092       
446.0 -64.7198925912      44.8308671648       310752.234082       
447.0 -64.6665179188      44.8605736826       311291.924164       
448.0 -64.6130100749      44.8903036958       311829.637598       
449.0 -64.5593703347      44.920055974        312365.355611       
450.0 -64.5056008574      44.9498287194       312899.033425       
451.0 -64.4517011788      44.9796218475       313430.70113        
452.0 -64.3976734969      45.0094335474       313960.312068       
453.0 -64.3435191524      45.0392625734       314487.843759       
