FORMAT LATLON METERS
#Time LonDeg              LatDeg              AltM                
533.0 -59.6719439918      47.4113749393       348381.958128       
534.0 -59.6093378053      47.440556222        348699.06875        
535.0 -59.5466203641      47.469723514        349013.644303       
536.0 -59.4837913555      47.4988767383       349325.688989       
537.0 -59.420850465       47.5280158172       349635.207029       
538.0 -59.3577973777      47.557140673        349942.202666       
539.0 -59.2946317777      47.5862512271       350246.680163       
540.0 -59.2313533475      47.6153474008       350548.643801       
541.0 -59.1679617693      47.6444291147       350848.097886       
542.0 -59.1044567236      47.673496289        351145.046743       
543.0 -59.0408371667      47.7025490773       351439.571236       
544.0 -58.9771042452      47.7315869231       351731.520584       
545.0 -58.9132569103      47.7606099806       352020.975871       
546.0 -58.8492948433      47.7896181668       352307.941067       
547.0 -58.7852177239      47.818611398        352592.420129       
548.0 -58.7210252319      47.8475895899       352874.417001       
549.0 -58.6567170455      47.8765526577       353153.935613       
550.0 -58.5922928429      47.9055005158       353430.97988        
551.0 -58.5277523017      47.9344330783       353705.553705       
552.0 -58.4630950979      47.9633502585       353977.660978       
553.0 -58.3983218297      47.9922516748       354247.209161       
554.0 -58.3334303441      48.0211378242       354514.393166       
555.0 -58.2684212369      48.0500083232       354779.12059        
556.0 -58.2032941864      48.0788630815       355041.394808       
557.0 -58.1380488699      48.107702008        355301.219118       
558.0 -58.0726849659      48.1365250108       355558.596737       
559.0 -58.0072021515      48.1653319974       355813.530798       
560.0 -57.9416001051      48.1941228743       356066.024348       
561.0 -57.8758785038      48.2228975473       356316.080341       
562.0 -57.8100370256      48.2516559212       356563.701638       
563.0 -57.7440753798      48.2803978883       356808.888609       
564.0 -57.6779931426      48.309123388        357051.652704       
565.0 -57.6117900258      48.3378323099       357291.993889       
566.0 -57.5454656965      48.3665245589       357529.915701       
567.0 -57.4790198218      48.3952000391       357765.42171        
568.0 -57.4124520664      48.4238586546       357998.515534       
569.0 -57.3457620944      48.4525003086       358229.200833       
570.0 -57.2789495686      48.4811249041       358457.481324       
571.0 -57.2120141496      48.5097323438       358683.360779       
572.0 -57.1449554976      48.5383225297       358906.843034       
573.0 -57.077772918       48.5668959392       359127.774439       
574.0 -57.0104667879      48.5954513107       359346.474925       
575.0 -56.9430364123      48.6239891207       359562.790889       
576.0 -56.8754814492      48.6525092667       359776.726679       
577.0 -56.8078015566      48.6810116452       359988.286753       
578.0 -56.7399963905      48.7094961517       360197.475693       
579.0 -56.672065607       48.737962681        360404.298212       
580.0 -56.6040088602      48.7664111271       360608.759153       
581.0 -56.535825804       48.794841383        360810.863504       
582.0 -56.4675160914      48.8232533409       361010.616399       
583.0 -56.399079782       48.8516458703       361208.359338       
584.0 -56.3305157227      48.8800208929       361403.428136       
585.0 -56.261823966       48.9083772775       361596.164684       
586.0 -56.1930041637      48.936714909        361786.575711       
587.0 -56.1240559667      48.9650336705       361974.668291       
588.0 -56.0549790253      48.9933334435       362160.449868       
589.0 -55.9857729901      49.0216141077       362343.928279       
590.0 -55.9164375106      49.0498755407       362525.111779       
591.0 -55.8469722371      49.0781176184       362704.009062       
592.0 -55.7773768189      49.1063402144       362880.629292       
593.0 -55.7076509498      49.1345429677       363055.071359       
594.0 -55.6377941731      49.1627262614       363227.15071        
595.0 -55.5678061806      49.1908897279       363396.968041       
596.0 -55.4976866164      49.2190332459       363564.530122       
597.0 -55.4274351225      49.247156693        363729.84367        
598.0 -55.357051341       49.2752599468       363892.915341       
599.0 -55.2865349124      49.3033428841       364053.751714       
600.0 -55.2158854767      49.3314053815       364212.359277       
601.0 -55.1451026731      49.3594473152       364368.744414       
602.0 -55.0741863558      49.3874684421       364522.914313       
603.0 -55.0031355787      49.4154689554       364674.873936       
604.0 -54.9319516432      49.4434478088       364824.640577       
605.0 -54.8606223504      49.471411408        364972.138789       
606.0 -54.7891429857      49.4993619721       365117.349373       
607.0 -54.7174997402      49.5273066835       365260.193844       
608.0 -54.6456836895      49.5552499734       365400.631909       
609.0 -54.5736839672      49.5831972818       365538.614457       
610.0 -54.5014896751      49.6111540052       365674.096567       
611.0 -54.4290901526      49.6391253484       365807.039477       
612.0 -54.3564744981      49.6671165866       365937.407366       
613.0 -54.2836313136      49.6951332018       366065.16573        
614.0 -54.21054939        49.7231805082       366190.286115       
615.0 -54.1372169267      49.7512640751       366312.740971       
616.0 -54.0636223197      49.7793892985       366432.508916       
617.0 -53.989753266       49.8075618819       366549.569235       
618.0 -53.9155975651      49.8357874038       366663.906872       
619.0 -53.8411426375      49.8640715735       366775.509673       
620.0 -53.7663756264      49.8924201754       366884.369131       
621.0 -53.6912837695      49.9208388691       366990.482576       
622.0 -53.6158527759      49.9493340465       367093.844425       
623.0 -53.5400692272      49.977911557        367194.4596         
624.0 -53.4639189558      50.0065775645       367292.33473        
625.0 -53.3873848987      50.0353396666       367387.4661         
626.0 -53.3104624317      50.0641988587       367479.926867       
627.0 -53.2331411866      50.0931591021       367569.760533       
628.0 -53.1554201356      50.1222194419       367657.065186       
629.0 -53.0772954359      50.1513803753       367741.92438        
630.0 -52.9987642616      50.1806418506       367824.428445       
631.0 -52.9198230461      50.2100041798       367904.665065       
632.0 -52.8404685721      50.239467474        367982.724861       
633.0 -52.7606972714      50.2690320028       368058.698607       
634.0 -52.6805057217      50.2986979407       368132.678607       
635.0 -52.5998903959      50.328465493        368204.758223       
636.0 -52.5188478384      50.3583348079       368275.032075       
637.0 -52.4373741998      50.3883062094       368343.595817       
638.0 -52.3554659716      50.4183798267       368410.546737       
639.0 -52.2731194573      50.4485558614       368475.983173       
640.0 -52.1903309126      50.4788345153       368540.004747       
641.0 -52.107097427       50.5092155534       368602.732096       
642.0 -52.023424581       50.5396945558       368664.2277         
643.0 -51.9393355336      50.570258512        368724.608522       
644.0 -51.8548547137      50.6008939329       368783.962241       
645.0 -51.7700073978      50.6315870643       368842.366421       
646.0 -51.6848195372      50.6623239784       368899.888082       
647.0 -51.5993176978      50.6930906076       368956.583495       
648.0 -51.5135293743      50.7238725991       369012.497586       
649.0 -51.4274823045      50.7546556517       369067.664103       
650.0 -51.341205296       50.78542513         369122.099241       
651.0 -51.2547244978      50.8161677407       369175.871991       
652.0 -51.1680506855      50.8468771268       369229.377888       
653.0 -51.0811830288      50.8775521049       369283.262108       
654.0 -50.9941205672      50.9081915638       369338.166601       
